Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BPY,Brookfield Property Partners L.P. Limited Partnership Units,$14.94,0.46,3.177%,13918591447.00,Bermuda,,1392728,Finance,Real Estate
BSY,Bentley Systems Incorporated Class B Common Stock,$39.48,0.62,1.595%,10721977531.00,United States,2020,257510,Technology,Computer Software: Prepackaged Software
CDNS,Cadence Design Systems Inc. Common Stock,$133.06,-1.31,-0.975%,37114558860.00,United States,,1171226,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$129.85,-0.90,-0.688%,18567019198.00,United States,2013,782512,Consumer Services,Catalog/Specialty Distribution
CERN,Cerner Corporation Common Stock,$77.69,0.31,0.401%,23818969176.00,United States,1986,1039635,Technology,EDP Services
CG,The Carlyle Group Inc. Common Stock,$31.38,0.40,1.291%,11093475675.00,United States,2012,653417,Finance,Investment Managers
CGC,Canopy Growth Corporation Common Shares,$27.01,1.15,4.447%,10055379604.00,Canada,,8331872,Consumer Durables,Specialty Chemicals
CGNX,Cognex Corporation Common Stock,$81.92,1.41,1.751%,14305921270.00,United States,1989,972134,Capital Goods,Industrial Machinery/Components
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$134.88,1.46,1.094%,18910188409.00,Israel,1996,1023278,Technology,Computer Software: Prepackaged Software
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$93.79,-0.60,-0.636%,12750387251.00,United States,1997,925516,Transportation,Oil Refining/Marketing
CHTR,Charter Communications Inc. Class A Common Stock New,$647.44,6.34,0.989%,132659923157.00,United States,,1590761,Consumer Services,Television Services
CINF,Cincinnati Financial Corporation Common Stock,$85.71,1.75,2.084%,13790473556.00,United States,,1220682,Finance,Property-Casualty Insurers
CMCSA,Comcast Corporation Class A Common Stock,$50.035,0.015,0.03%,228926294060.00,United States,,12934207,Consumer Services,Television Services
CME,CME Group Inc. Class A Common Stock,$180.34,-0.66,-0.365%,64740364263.00,United States,2002,1289826,Finance,Investment Bankers/Brokers/Service
COST,Costco Wholesale Corporation Common Stock,$361.89,-0.14,-0.039%,160301067823.00,United States,,1780811,Consumer Services,Department/Specialty Retail Stores
COUP,Coupa Software Incorporated Common Stock,$352.16,-8.99,-2.489%,25417569183.00,United States,2016,925737,Technology,Computer Software: Prepackaged Software
